_id,TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,VIOLLUMP,HAZARDRATING
11,SDFO-88ESVK,20190109,Routine,0,3,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
12,SDFO-88ESVK,20180813,Routine,0,3,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
13,SDFO-88ESVK,20180103,Routine,0,0,,Low
14,SDFO-88ESVK,20170719,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
15,SDFO-88ESVK,20170210,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
16,NDAA-8RNNVR,20191021,Routine,0,0,,Low
17,NDAA-8RNNVR,20190426,Follow-Up,0,0,,Low
18,NDAA-8RNNVR,20190412,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
19,NDAA-8RNNVR,20181017,Routine,0,0,,Low
20,NDAA-8RNNVR,20180418,Follow-Up,0,0,,Low
21,NDAA-8RNNVR,20180409,Routine,1,4,"210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Low
22,NDAA-8RNNVR,20171010,Follow-Up,0,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Low
23,NDAA-8RNNVR,20170908,Follow-Up,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
24,NDAA-8RNNVR,20170905,Routine,2,2,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
25,NDAA-8RNNVR,20170412,Follow-Up,0,0,,Low
26,NDAA-8RNNVR,20170411,Routine,1,2,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
27,SYOG-5M5942,20190425,Routine,0,2,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
28,SYOG-5M5942,20181126,Routine,1,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
29,SYOG-5M5942,20180502,Routine,0,2,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
30,SYOG-5M5942,20180214,Follow-Up,0,0,,Low
31,SYOG-5M5942,20180209,Routine,1,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat",Low
32,SYOG-5M5942,20170519,Follow-Up,0,0,,Low
33,SYOG-5M5942,20170508,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
34,GEDS-6KHW57,20191028,Follow-Up,0,0,,Low
35,GEDS-6KHW57,20191025,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
36,GEDS-6KHW57,20190614,Follow-Up,0,0,,Low
37,GEDS-6KHW57,20190611,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
38,GEDS-6KHW57,20181015,Routine,0,2,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat",Low
39,GEDS-6KHW57,20180514,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
40,GEDS-6KHW57,20171106,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
41,GEDS-6KHW57,20170619,Follow-Up,0,0,,Low
42,GEDS-6KHW57,20170616,Routine,1,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
43,GEDS-6KHW57,20170228,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
44,GEDS-7YZN48,20200428,Routine,1,0,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
45,GEDS-7YZN48,20200123,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
46,GEDS-7YZN48,20190604,Follow-Up,0,0,,Low
47,GEDS-7YZN48,20190531,Follow-Up,0,0,,Low
48,GEDS-7YZN48,20190530,Follow-Up,1,0,"201,Critical,Food contaminated or unfit for human consumption [s. 13],Not Repeat",Moderate
49,GEDS-7YZN48,20190528,Routine,2,3,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
50,GEDS-7YZN48,20190128,Follow-Up,0,0,,Low
51,GEDS-7YZN48,20181217,Follow-Up,0,0,,Low
52,GEDS-7YZN48,20181212,Routine,2,3,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
53,GEDS-7YZN48,20180507,Routine,2,2,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
54,GEDS-7YZN48,20171101,Routine,2,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
55,GEDS-7YZN48,20170503,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
56,SHEN-9SGNQT,20191107,Follow-Up,0,0,,Low
57,SHEN-9SGNQT,20191028,Routine,0,1,"502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
58,SHEN-9SGNQT,20190619,Follow-Up,0,0,,Low
59,SHEN-9SGNQT,20190614,Routine,0,1,"212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat",Low
60,SHEN-9SGNQT,20181121,Routine,1,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
61,SHEN-9SGNQT,20180730,Routine,1,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
62,SHEN-9SGNQT,20180219,Routine,0,0,,Low
63,SHEN-9SGNQT,20171025,Follow-Up,0,0,,Low
64,SHEN-9SGNQT,20170828,Follow-Up,0,0,,Low
65,SHEN-9SGNQT,20170512,Follow-Up,0,0,,Low
66,SHEN-9SGNQT,20170509,Routine,2,0,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
67,SDFO-8AULF9,20201015,Routine,0,0,,Low
68,SDFO-8AULF9,20200420,Routine,1,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
69,SDFO-8AULF9,20200107,Follow-Up,0,1,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
70,SDFO-8AULF9,20191105,Follow-Up,0,0,,Low
71,SDFO-8AULF9,20191007,Routine,0,2,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Moderate
72,SDFO-8AULF9,20190524,Follow-Up,0,0,,Low
73,SDFO-8AULF9,20190423,Follow-Up,0,0,,Low
74,SDFO-8AULF9,20190405,Routine,1,3,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
75,SDFO-8AULF9,20181001,Routine,0,0,,Low
76,SDFO-8AULF9,20180410,Follow-Up,0,0,,Low
77,SDFO-8AULF9,20180403,Routine,2,2,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
78,SDFO-8AULF9,20171030,Follow-Up,0,0,,Low
79,SDFO-8AULF9,20171017,Routine,2,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
80,SDFO-8AULF9,20170420,Routine,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat",Low
81,SDFO-8L8SZK,20191011,Routine,1,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
82,SDFO-8L8SZK,20190508,Routine,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat",Low
83,SDFO-8L8SZK,20181210,Routine,0,0,,Low
84,SDFO-8L8SZK,20180730,Routine,1,1,"211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 °C. [s. 14(3)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
85,SDFO-8L8SZK,20180309,Routine,2,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Moderate
86,SDFO-8L8SZK,20170925,Routine,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
87,SDFO-8L8SZK,20170228,Follow-Up,0,0,,Low
88,SDFO-8L8SZK,20170221,Routine,2,3,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 °C. [s. 14(3)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
89,ACAK-8XKMAF,20191126,Routine,0,0,,Low
90,ACAK-8XKMAF,20190614,Routine,0,2,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
91,ACAK-8XKMAF,20181219,Follow-Up,0,0,,Low
92,ACAK-8XKMAF,20181107,Follow-Up,0,0,,Low
93,ACAK-8XKMAF,20181107,Follow-Up,1,0,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat",Moderate
94,ACAK-8XKMAF,20181107,Follow-Up,0,0,,Low
95,ACAK-8XKMAF,20181106,Routine,2,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
96,ACAK-8XKMAF,20180608,Follow-Up,1,0,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
97,ACAK-8XKMAF,20180601,Routine,2,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat",Low
98,ACAK-8XKMAF,20171218,Routine,0,0,,Low
99,ACAK-8XKMAF,20170713,Follow-Up,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
100,ACAK-8XKMAF,20170620,Follow-Up,2,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
101,ACAK-8XKMAF,20170607,Routine,3,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
102,NDAA-9L2T78,20191009,Routine,0,0,,Low
103,NDAA-9L2T78,20181206,Routine,0,0,,Low
104,NDAA-9L2T78,20180613,Routine,0,0,,Low
105,NDAA-9L2T78,20171020,Routine,0,0,,Low
106,NDAA-9L2T78,20170411,Follow-Up,0,0,,Low
107,NDAA-9L2T78,20170404,Routine,0,0,,Low
108,HPAR-AE2S2K,20191212,Follow-Up,0,0,,Low
109,HPAR-AE2S2K,20191030,Routine,0,3,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
110,HPAR-AE2S2K,20190415,Follow-Up,0,0,,Low
111,HPAR-AE2S2K,20190412,Routine,2,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
112,HPAR-AE2S2K,20180829,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
113,HPAR-AE2S2K,20180709,Follow-Up,0,0,,Low
114,HPAR-AE2S2K,20180409,Routine,0,0,,Low
115,HPAR-AE2S2K,20171102,Follow-Up,0,0,,Low
116,HPAR-AE2S2K,20171017,Routine,0,0,,Low
117,HPAR-AE2S2K,20170809,Follow-Up,0,0,,Low
118,HPAR-AE2S2K,20170605,Routine,0,0,,Low
119,SPLH-ASNP2T,20200901,Routine,3,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Moderate
120,SPLH-ASNP2T,20190926,Routine,0,0,,Low
121,SPLH-ASNP2T,20190409,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
122,SPLH-ASNP2T,20181213,Routine,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
123,SPLH-ASNP2T,20180406,Routine,0,0,,Low
124,SPLH-ASNP2T,20171127,Follow-Up,1,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat",Low
125,SPLH-ASNP2T,20171124,Routine,1,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat",Low
126,SHEN-A2CTME,20200115,Routine,0,0,,Low
127,SHEN-A2CTME,20190828,Follow-Up,0,0,,Low
128,SHEN-A2CTME,20190814,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
129,SHEN-A2CTME,20181211,Follow-Up,0,0,,Low
130,SHEN-A2CTME,20181207,Routine,0,2,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat",Low
131,SHEN-A2CTME,20180515,Routine,1,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
132,SHEN-A2CTME,20171025,Routine,0,0,,Low
133,SHEN-A2CTME,20171003,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
134,SHEN-A2CTME,20170316,Routine,0,0,,Low
135,HPAR-AFGRCA,20191211,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
136,HPAR-AFGRCA,20190711,Routine,1,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
137,HPAR-AFGRCA,20181022,Routine,0,0,,Low
138,HPAR-AFGRCA,20180514,Routine,0,0,,Low
139,HPAR-AFGRCA,20170927,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
140,HPAR-AFGRCA,20170505,Routine,0,0,,Low
141,HPAR-AFGPRP,20200116,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
142,HPAR-AFGPRP,20190319,Routine,0,0,,Low
143,HPAR-AFGPRP,20181218,Routine,1,1,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
144,HPAR-AFGPRP,20180312,Follow-Up,0,0,,Low
145,HPAR-AFGPRP,20180309,Routine,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
146,NDAA-99WMTF,20200205,Routine,0,0,,Low
147,NDAA-99WMTF,20190815,Routine,0,0,,Low
148,NDAA-99WMTF,20190219,Routine,0,0,,Low
149,NDAA-99WMTF,20180912,Follow-Up,0,0,,Low
150,NDAA-99WMTF,20180910,Routine,2,3,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Moderate
151,NDAA-99WMTF,20180314,Routine,1,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
152,NDAA-99WMTF,20170913,Routine,1,0,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
153,NDAA-99WMTF,20170411,Routine,0,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
154,HPAR-AE2Q87,20191104,Routine,0,0,,Low
155,HPAR-AE2Q87,20190506,Follow-Up,0,0,,Low
156,HPAR-AE2Q87,20190502,Routine,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
157,HPAR-AE2Q87,20181018,Routine,0,0,,Low
158,HPAR-AE2Q87,20180501,Routine,0,0,,Low
159,HPAR-AE2Q87,20171116,Follow-Up,0,0,,Low
160,HPAR-AE2Q87,20171013,Follow-Up,0,0,,Low
161,HPAR-AE2Q87,20170907,Routine,0,1,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
162,HPAR-AE2Q87,20170607,Routine,0,0,,Low
163,SWOD-AQAKLU,20200911,Follow-Up,0,1,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
164,SWOD-AQAKLU,20200901,Follow-Up,0,1,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
165,SWOD-AQAKLU,20200831,Routine,1,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
166,SWOD-AQAKLU,20191101,Routine,0,0,,Low
167,SWOD-AQAKLU,20190524,Routine,0,0,,Low
168,SWOD-AQAKLU,20181219,Routine,0,0,,Low
169,SWOD-AQAKLU,20180914,Follow-Up,0,0,,Low
170,SWOD-AQAKLU,20180803,Follow-Up,0,0,,Low
